                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7449,                 1.3432,                 1.2865,                0.81002,                0.84335,                0.89782,                0.48694,                  1.544,                 1.1177,                 1.2347,             0.00066013,             0.00066013,             0.00066013
                      1,                 1.5578,                0.93641,                 1.1688,                0.84382,                0.82969,                0.91197,                0.50657,                 1.4874,                0.85327,                 1.2065,              0.0013137,              0.0013137,              0.0013137
                      2,                 1.5313,                0.91653,                 1.1778,                0.84069,                0.85064,                  0.916,                0.50392,                 1.5013,                0.83582,                  1.244,               0.001954,               0.001954,               0.001954
                      3,                 1.5166,                 0.8893,                 1.1667,                0.85648,                0.86416,                 0.9285,                0.51653,                  1.489,                0.78392,                 1.2209,              0.0019406,              0.0019406,              0.0019406
                      4,                 1.5057,                0.87698,                  1.167,                0.82487,                0.86649,                0.91966,                0.51832,                 1.5033,                0.82139,                 1.2395,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.4958,                0.86663,                 1.1479,                0.85565,                0.89344,                0.93152,                0.52672,                 1.4308,                0.77073,                 1.1863,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.4723,                0.83122,                 1.1493,                0.83453,                0.85437,                0.91803,                0.51776,                 1.4364,                 0.8436,                 1.2012,               0.001901,               0.001901,               0.001901
                      7,                 1.4921,                 0.8186,                 1.1455,                0.86666,                0.85237,                0.93132,                0.49993,                 1.5584,                0.80681,                 1.2699,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.4868,                0.81405,                 1.1445,                0.85106,                0.84304,                0.92604,                 0.5372,                 1.4607,                0.75926,                 1.1887,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.4499,                0.80494,                 1.1373,                0.83331,                0.87874,                0.92905,                0.54509,                 1.4496,                0.75304,                 1.2152,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.4361,                0.78775,                 1.1291,                0.82443,                 0.9153,                0.93712,                0.54385,                 1.4683,                0.74485,                 1.2366,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.4317,                0.78791,                 1.1389,                0.86107,                0.86363,                0.93085,                0.53367,                  1.455,                0.75907,                  1.206,               0.001802,               0.001802,               0.001802
                     12,                 1.4408,                0.77884,                 1.1378,                0.83664,                0.89344,                0.93846,                0.55068,                 1.4448,                0.71672,                 1.2161,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.4226,                0.78981,                 1.1272,                0.84997,                0.87714,                0.93447,                0.52663,                 1.4817,                0.71681,                 1.2453,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.4191,                0.76312,                 1.1308,                 0.8447,                0.87614,                0.92992,                0.52368,                  1.497,                0.78387,                 1.2484,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.4158,                0.75587,                 1.1209,                0.85119,                0.88342,                0.93548,                0.54286,                 1.4635,                0.75956,                 1.2104,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.4034,                 0.7553,                 1.1221,                0.85988,                0.87748,                0.93169,                0.55003,                 1.4328,                0.73965,                 1.2083,               0.001703,               0.001703,               0.001703
                     17,                 1.3988,                0.75462,                 1.1158,                0.87904,                0.86885,                 0.9414,                0.55236,                 1.4425,                0.69709,                 1.2012,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.3902,                0.74458,                 1.1152,                 0.8564,                0.90255,                0.93683,                0.55166,                   1.44,                0.69555,                 1.1955,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.3817,                0.73232,                 1.1053,                 0.8651,                0.89344,                0.94691,                0.54421,                 1.4423,                0.70708,                    1.2,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.3883,                0.72529,                 1.1097,                0.85511,                0.89223,                0.94201,                0.54316,                 1.4647,                0.75503,                 1.2324,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.3798,                0.73215,                 1.1144,                0.84491,                0.88707,                0.94345,                0.55319,                 1.4271,                 0.6871,                 1.2125,               0.001604,               0.001604,               0.001604
                     22,                 1.3658,                0.72258,                 1.1095,                0.83672,                0.89344,                  0.936,                0.54758,                 1.4378,                 0.7271,                 1.2147,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.3563,                0.72648,                 1.0994,                0.84256,                0.89679,                0.93717,                0.54923,                 1.4237,                0.74848,                 1.2125,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.3614,                0.72145,                 1.1038,                0.83818,                 0.8869,                0.92895,                0.53029,                  1.448,                0.75222,                 1.2394,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.3572,                0.70637,                 1.1029,                0.83679,                0.89187,                0.93575,                0.53867,                 1.4446,                0.71336,                 1.2336,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.3656,                0.70672,                 1.1026,                0.85644,                0.88707,                0.93728,                0.56034,                 1.4266,                0.69991,                 1.1944,               0.001505,               0.001505,               0.001505
                     27,                 1.3473,                0.69574,                 1.0996,                0.81662,                0.91803,                0.93125,                 0.5433,                  1.446,                0.70306,                 1.2277,              0.0014852,              0.0014852,              0.0014852
                     28,                  1.354,                0.69428,                 1.0935,                0.85932,                0.89568,                 0.9414,                0.56664,                 1.4257,                0.67468,                 1.1947,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.3439,                0.69914,                 1.0992,                0.85144,                0.90528,                0.94373,                0.56392,                  1.429,                 0.6704,                 1.2195,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.3421,                 0.6931,                 1.0945,                0.87488,                0.86976,                0.94263,                0.55453,                  1.448,                0.67954,                 1.2274,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.3311,                0.68222,                 1.0872,                0.86543,                0.89611,                 0.9378,                0.55924,                 1.4419,                0.70616,                 1.2203,               0.001406,               0.001406,               0.001406
                     32,                 1.3292,                0.69316,                 1.0854,                 0.8543,                0.89891,                0.93959,                0.55818,                 1.4164,                0.69856,                 1.2154,              0.0013862,              0.0013862,              0.0013862
                     33,                  1.318,                0.67698,                 1.0834,                0.86689,                0.88707,                0.93857,                0.55001,                  1.439,                 0.6823,                 1.2189,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.3294,                0.68638,                 1.0938,                0.86442,                 0.8826,                0.94351,                0.56184,                 1.4473,                0.68263,                 1.2323,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.3143,                0.66702,                 1.0745,                0.83719,                0.90857,                0.93896,                 0.5585,                  1.428,                0.67321,                 1.2139,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.3134,                0.67099,                 1.0831,                0.84185,                0.89526,                0.94283,                0.55208,                 1.4506,                 0.6767,                 1.2209,               0.001307,               0.001307,               0.001307
                     37,                 1.3075,                0.66791,                  1.085,                0.84262,                0.88342,                0.93672,                0.55174,                 1.4479,                 0.7106,                 1.2368,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.2975,                0.66215,                 1.0763,                0.84436,                0.90528,                0.93754,                0.54411,                 1.4599,                0.69461,                 1.2382,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.2966,                0.65675,                 1.0786,                0.85815,                0.89071,                0.93641,                 0.5523,                 1.4335,                0.68973,                 1.2174,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.2951,                 0.6583,                 1.0734,                0.86381,                0.88382,                 0.9359,                0.56286,                 1.4299,                0.66129,                  1.212,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.2834,                0.65289,                 1.0763,                0.85799,                0.88588,                0.93638,                0.55946,                 1.4275,                0.67577,                 1.2055,               0.001208,               0.001208,               0.001208
                     42,                 1.2959,                 0.6526,                 1.0771,                0.85543,                0.89455,                 0.9373,                0.54941,                  1.448,                0.67469,                 1.2262,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.2812,                0.64408,                 1.0702,                0.87001,                0.88434,                0.94022,                0.55631,                 1.4326,                0.66259,                  1.213,              0.0011684,              0.0011684,              0.0011684
